date_start, date_end, gesamt_status, gesamt_percent, gesamt_free
2020-08-25 08:50:06, 2020-08-25 08:50:10, 200, 0, -2
2020-08-25 08:54:48, 2020-08-25 08:54:52, 200, 0, -2
2020-08-25 09:20:02, 2020-08-25 09:20:06, 200, 0, -2
2020-08-25 09:30:01, 2020-08-25 09:30:06, 200, 0, -2
2020-08-25 09:40:02, 2020-08-25 09:40:06, 200, 0, -2
2020-08-25 09:50:07, 2020-08-25 09:50:11, 200, 0, -2
2020-08-25 10:00:02, 2020-08-25 10:00:06, 200, 0, -2
2020-08-25 10:10:02, 2020-08-25 10:10:05, 200, 0, -2
2020-08-25 10:20:02, 2020-08-25 10:20:06, 200, 4, -2
2020-08-25 10:30:02, 2020-08-25 10:30:06, 200, 4, -2
2020-08-25 10:40:07, 2020-08-25 10:40:11, 200, 7, -2
2020-08-25 10:50:02, 2020-08-25 10:50:06, 200, 7, -2
2020-08-25 11:00:02, 2020-08-25 11:00:06, 200, 7, -2
2020-08-25 11:10:02, 2020-08-25 11:10:06, 200, 7, -2
2020-08-25 11:20:06, 2020-08-25 11:20:09, 200, 7, -2
2020-08-25 11:30:08, 2020-08-25 11:30:11, 200, 11, -2
2020-08-25 11:40:02, 2020-08-25 11:40:05, 200, 13, -2
2020-08-25 11:50:02, 2020-08-25 11:50:06, 200, 13, -2
2020-08-25 12:00:02, 2020-08-25 12:00:07, 200, 13, -2
2020-08-25 12:10:07, 2020-08-25 12:10:11, 200, 11, -2
2020-08-25 12:20:02, 2020-08-25 12:20:06, 200, 11, -2
2020-08-25 12:30:02, 2020-08-25 12:30:06, 200, 13, -2
2020-08-25 12:40:07, 2020-08-25 12:40:11, 200, 13, -2
2020-08-25 12:50:01, 2020-08-25 12:50:06, 200, 13, -2
2020-08-25 13:00:01, 2020-08-25 13:00:05, 200, 12, -2
2020-08-25 13:10:02, 2020-08-25 13:10:06, 200, 11, -2
2020-08-25 13:20:03, 2020-08-25 13:20:06, 200, 11, -2
2020-08-25 13:30:02, 2020-08-25 13:30:06, 200, 11, -2
2020-08-25 13:40:02, 2020-08-25 13:40:05, 200, 8, -2
