date_start, date_end, innen_status, innen_percent, innen_free, aussen_status, aussen_percent, aussen_free, boulder_status, boulder_percent, boulder_free
2020-08-25 08:50:06, 2020-08-25 08:50:10, 200, 0, 128, 200, 0, 53, 200, 0, 114
2020-08-25 08:54:48, 2020-08-25 08:54:52, 200, 0, 128, 200, 0, 53, 200, 0, 114
2020-08-25 09:20:02, 2020-08-25 09:20:06, 200, 4, 123, 200, 0, 53, 200, 0, 114
2020-08-25 09:30:01, 2020-08-25 09:30:06, 200, 5, 121, 200, 0, 53, 200, 0, 114
2020-08-25 09:40:02, 2020-08-25 09:40:06, 200, 9, 117, 200, 0, 53, 200, 0, 114
2020-08-25 09:50:07, 2020-08-25 09:50:11, 200, 17, 106, 200, 0, 53, 200, 1, 113
2020-08-25 10:00:02, 2020-08-25 10:00:06, 200, 19, 104, 200, 0, 53, 200, 1, 113
2020-08-25 10:10:02, 2020-08-25 10:10:05, 200, 23, 98, 200, 0, 53, 200, 1, 113
2020-08-25 10:20:02, 2020-08-25 10:20:06, 200, 22, 100, 200, 0, 53, 200, 1, 113
2020-08-25 10:30:02, 2020-08-25 10:30:06, 200, 22, 100, 200, 0, 53, 200, 1, 113
2020-08-25 10:40:07, 2020-08-25 10:40:11, 200, 22, 100, 200, 0, 53, 200, 1, 113
2020-08-25 10:50:02, 2020-08-25 10:50:06, 200, 22, 100, 200, 0, 53, 200, 2, 112
2020-08-25 11:00:02, 2020-08-25 11:00:06, 200, 23, 99, 200, 0, 53, 200, 2, 112
2020-08-25 11:10:02, 2020-08-25 11:10:06, 200, 22, 100, 200, 0, 53, 200, 2, 112
2020-08-25 11:20:06, 2020-08-25 11:20:09, 200, 22, 100, 200, 0, 53, 200, 2, 112
2020-08-25 11:30:08, 2020-08-25 11:30:11, 200, 22, 100, 200, 0, 53, 200, 2, 112
2020-08-25 11:40:02, 2020-08-25 11:40:05, 200, 22, 100, 200, 0, 53, 200, 2, 112
2020-08-25 11:50:02, 2020-08-25 11:50:06, 200, 19, 104, 200, 0, 53, 200, 2, 112
2020-08-25 12:00:02, 2020-08-25 12:00:07, 200, 19, 104, 200, 0, 53, 200, 1, 113
2020-08-25 12:10:07, 2020-08-25 12:10:11, 200, 18, 105, 200, 0, 53, 200, 1, 113
2020-08-25 12:20:02, 2020-08-25 12:20:06, 200, 20, 102, 200, 0, 53, 200, 1, 113
2020-08-25 12:30:02, 2020-08-25 12:30:06, 200, 20, 102, 200, 0, 53, 200, 4, 110
2020-08-25 12:40:07, 2020-08-25 12:40:11, 200, 21, 101, 200, 4, 51, 200, 4, 109
2020-08-25 12:50:01, 2020-08-25 12:50:06, 200, 17, 106, 200, 4, 51, 200, 5, 108
2020-08-25 13:00:01, 2020-08-25 13:00:05, 200, 16, 107, 200, 4, 51, 200, 5, 108
2020-08-25 13:10:02, 2020-08-25 13:10:06, 200, 12, 113, 200, 4, 51, 200, 5, 108
2020-08-25 13:20:03, 2020-08-25 13:20:06, 200, 12, 113, 200, 4, 51, 200, 5, 108
2020-08-25 13:30:02, 2020-08-25 13:30:06, 200, 13, 111, 200, 4, 51, 200, 5, 108
2020-08-25 13:40:02, 2020-08-25 13:40:05, 200, 10, 115, 200, 4, 51, 200, 5, 108
